Category,Card
Economic Pressure (Green),Unemployment hits 10+ACU- as markets contract.(Use Card Value)
Economic Pressure (Green),Government defaults on international loans.(Use Card Value)
Economic Pressure (Green),Stock market enters prolonged bear phase.(Use Card Value)
Economic Pressure (Green),Consumer confidence falls to record low.(Use Card Value)
Economic Pressure (Green),Crypto crash eliminates retirement savings.(Use Card Value)
Economic Pressure (Green),Black market outpaces official currency.(Use Card Value)
Economic Pressure (Green),Currency faces speculative attack. (x2 multiplier)
Economic Pressure (Green),Speculators flee market over corruption probe.(Use Card Value)
Economic Pressure (Green),Widespread layoffs in tech and finance.(Use Card Value)
Economic Pressure (Green),Major bank requires emergency bailout.(Use Card Value)
Economic Pressure (Green),Housing bubble inflates past 2008 levels.(Use Card Value)
Economic Pressure (Green),Basic goods experience hyperinflation.(Use Card Value)
Economic Pressure (Green),+ACI-Subsidies end, raising cost of living.(Use Card Value)+ACI-
Economic Pressure (Green),Blackouts halt industrial production for weeks.(Use Card Value)
Economic Pressure (Green),Stock buybacks banned to stabilize equity markets. (x2 multiplier)
Economic Pressure (Green),Public pensions are slashed to balance budget.(Use Card Value)
Economic Pressure (Green),Workers demand 4+AC0-day workweek in mass strikes.(Use Card Value)
Economic Pressure (Green),Gig workers strike against AI scheduling.(Use Card Value)
Economic Pressure (Green),Cryptocurrency adoption spikes amid fiat instability.(Use Card Value)
Economic Pressure (Green),Debt+AC0-to+AC0-GDP ratio reaches unsustainable level.(Use Card Value)
Economic Pressure (Green),Housing market is frozen as interest rates surge.(Use Card Value)
Economic Pressure (Green),Import taxes cripple small businesses.(Use Card Value)
Economic Pressure (Green),Pension funds gamble and fail.(+-4)
Economic Pressure (Green),+ACI-Basic goods are hoarded, worsening shortages.(Use Card Value)+ACI-
Economic Pressure (Green),Wage stagnation leads to increased borrowing.(Use Card Value)
Economic Pressure (Green),Public sector workers strike en masse.(Use Card Value)
Economic Pressure (Green),Shadow banking sector exposed in scandal.(Use Card Value)
Economic Pressure (Green),Trade deficit hits record high.(Use Card Value)
Economic Pressure (Green),Public sector workers strike en masse.(Use Card Value)
Economic Pressure (Green),Trade deficit hits record high.(Use Card Value)
Economic Pressure (Green),+ACI-Basic goods are hoarded, worsening shortages.(Use Card Value)+ACI-
Economic Pressure (Green),Debt+AC0-to+AC0-GDP ratio reaches unsustainable level.(Use Card Value)
Economic Pressure (Green),Major bank nationalized after liquidity crisis.(Use Card Value)
Economic Pressure (Green),Shadow banking sector exposed in scandal.(Use Card Value)
Economic Pressure (Green),Wage stagnation leads to increased borrowing.(Use Card Value)
Economic Pressure (Green),Housing market is frozen as interest rates surge.(Use Card Value)
Economic Pressure (Green),Bank run causes regional collapse.(Use Card Value)
Economic Pressure (Green),Tariffs imposed on critical raw materials.(Use Card Value)
Economic Pressure (Green),Mass boycott triggered by international trade dispute.(Use Card Value)
Economic Pressure (Green),Nation defaults on Belt and Road loan.(Use Card Value)
Economic Pressure (Green),Workers protest foreign corporate takeovers.(Use Card Value)
Economic Pressure (Green),Rural banks collapse under debt burden.(Use Card Value)
Economic Pressure (Green),Artificial inflation sparks calls for currency reform.(Use Card Value)
Economic Pressure (Green),+ACI-Trade pact revoked, markets destabilize.(Use Card Value)+ACI-
Economic Pressure (Green),Price controls cause black market to flourish.(Use Card Value)
Economic Pressure (Green),Central bank raises interest rates aggressively to contain inflation.(Use Card Value)
Economic Pressure (Green),+ACI-Major hedge fund collapses, triggering credit panic.(Use Card Value)+ACI-
Economic Pressure (Green),Consumer spending drops after energy prices surge. (x1.5 multiplier)
Economic Pressure (Green),Real estate values plummet following debt overextension.(Use Card Value)
Economic Pressure (Green),Labor unions call for general strike over stagnant wages.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Nuclear power meltdown leads to evacuation.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Earthquake devastates historic region.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Extreme heatwave shuts down industry.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Coastal city abandoned due to sea rise.(+-5)
Natural Disasters +ACY- Climate Events (Yellow),Polar vortex cripples power grid.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Dust storms choke food supply lines.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Heavy monsoon floods displace thousands.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Tornado supercluster tears through Midwest.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Environmental refugees overwhelm nearby cities.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Nation faces year without a summer.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Ecosystem collapse reduces biodiversity.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Arctic thaw releases ancient viruses.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Ice storm traps millions indoors.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Freak hailstorm destroys millions in crops.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Volcano eruption disrupts global air travel.(Use Card Value)
Natural Disasters +ACY- Climate Events (Yellow),Dust Bowl conditions return.(+-5)
Natural Disasters +ACY- Climate Events (Yellow),Heat dome causes rolling blackouts.(Use Card Value)
